mode,cr,seed,t_first,t_half,t_full,oct_pct,d0_first,d1_first,d2_first,d3_first,d4_first,d5_first,d6_first
direct,0.01,137,2000,5000,7000,,1000,2000,2000,3000,3000,4000,5000
direct,0.01,271,1000,4000,8000,,1000,1000,2000,2000,2000,2000,5000
direct,0.01,42,1000,3000,6000,,1000,1000,1000,1000,1000,2000,2000
direct,0.1,137,1000,1000,2000,,1000,1000,1000,1000,1000,1000,1000
direct,0.1,271,1000,1000,2000,,1000,1000,1000,1000,1000,1000,2000
direct,0.1,42,1000,1000,2000,,1000,1000,1000,1000,1000,1000,1000
direct,1.0,137,1000,1000,1000,,1000,1000,1000,1000,1000,1000,1000
direct,1.0,271,1000,1000,1000,,1000,1000,1000,1000,1000,1000,1000
direct,1.0,42,1000,1000,1000,,1000,1000,1000,1000,1000,1000,1000
octahedral,0.005,137,1000,7000,12000,86.7,1000,1000,2000,3000,5000,7000,10000
octahedral,0.005,271,1000,7000,14000,87.9,1000,1000,2000,3000,3000,4000,6000
octahedral,0.005,42,1000,7000,13000,86.3,1000,1000,2000,3000,4000,5000,9000
octahedral,0.01,137,1000,5000,7000,87.0,1000,1000,2000,3000,3000,5000,6000
octahedral,0.01,271,1000,4000,7000,89.2,1000,1000,1000,1000,2000,4000,5000
octahedral,0.01,42,1000,3000,6000,87.0,1000,1000,1000,1000,2000,3000,4000
octahedral,0.05,137,1000,2000,2000,88.7,1000,1000,1000,1000,1000,1000,2000
octahedral,0.05,271,1000,2000,2000,86.4,1000,1000,1000,1000,1000,1000,1000
octahedral,0.05,42,1000,1000,2000,88.0,1000,1000,1000,1000,1000,1000,2000
octahedral,0.1,137,1000,1000,2000,88.0,1000,1000,1000,1000,1000,1000,2000
octahedral,0.1,271,1000,1000,2000,89.2,1000,1000,1000,1000,1000,1000,1000
octahedral,0.1,42,1000,1000,2000,88.6,1000,1000,1000,1000,1000,1000,1000
octahedral,0.5,137,1000,1000,1000,89.2,1000,1000,1000,1000,1000,1000,1000
octahedral,0.5,271,1000,1000,1000,88.2,1000,1000,1000,1000,1000,1000,1000
octahedral,0.5,42,1000,1000,1000,87.7,1000,1000,1000,1000,1000,1000,1000
octahedral,1.0,137,1000,1000,1000,89.1,1000,1000,1000,1000,1000,1000,1000
octahedral,1.0,271,1000,1000,1000,88.4,1000,1000,1000,1000,1000,1000,1000
octahedral,1.0,42,1000,1000,1000,86.8,1000,1000,1000,1000,1000,1000,1000
