mode,cross_rate,seed,t_first,t_half,t_full,oct_rep_pct
direct,0.01,42,1000,2000,4000,N/A
direct,0.01,123,1000,2000,3000,N/A
direct,0.01,456,2000,4000,6000,N/A
direct,0.01,789,1000,2000,4000,N/A
direct,0.01,1024,1000,2000,3000,N/A
direct,0.1,42,1000,1000,1000,N/A
direct,0.1,123,1000,1000,1000,N/A
direct,0.1,456,1000,1000,1000,N/A
direct,0.1,789,1000,1000,1000,N/A
direct,0.1,1024,1000,1000,1000,N/A
direct,1.0,42,1000,1000,1000,N/A
direct,1.0,123,1000,1000,1000,N/A
direct,1.0,456,1000,1000,1000,N/A
direct,1.0,789,1000,1000,1000,N/A
direct,1.0,1024,1000,1000,1000,N/A
octahedral,0.01,42,1000,3000,4000,90.6
octahedral,0.01,123,1000,2000,3000,91.7
octahedral,0.01,456,2000,3000,6000,89.1
octahedral,0.01,789,1000,3000,5000,92.2
octahedral,0.01,1024,1000,2000,3000,91.1
octahedral,0.1,42,1000,1000,1000,90.1
octahedral,0.1,123,1000,1000,1000,90.6
octahedral,0.1,456,1000,1000,1000,85.4
octahedral,0.1,789,1000,1000,1000,87.5
octahedral,0.1,1024,1000,1000,1000,89.6
octahedral,1.0,42,1000,1000,1000,85.9
octahedral,1.0,123,1000,1000,1000,87.0
octahedral,1.0,456,1000,1000,1000,88.0
octahedral,1.0,789,1000,1000,1000,88.5
octahedral,1.0,1024,1000,1000,1000,85.4
octahedral,0.005,42,1000,5000,8000,87.0
octahedral,0.005,123,1000,5000,9000,91.7
octahedral,0.005,456,1000,4000,9000,87.5
octahedral,0.005,789,6000,10000,14000,85.9
octahedral,0.005,1024,1000,2000,6000,88.5
octahedral,0.05,42,1000,1000,2000,86.5
octahedral,0.05,123,1000,1000,1000,87.0
octahedral,0.05,456,1000,1000,1000,87.5
octahedral,0.05,789,1000,1000,1000,82.3
octahedral,0.05,1024,1000,1000,1000,89.1
octahedral,0.5,42,1000,1000,1000,89.6
octahedral,0.5,123,1000,1000,1000,86.5
octahedral,0.5,456,1000,1000,1000,84.4
octahedral,0.5,789,1000,1000,1000,83.3
octahedral,0.5,1024,1000,1000,1000,88.0
